finance_id;cost;budget;other_expenses;Investment Description;roi;Projet;Responsable;Taux de change;Projet valide
1;;;112129.49;Amenagement interieur et finitions (peinture, carrelage).;295690.7;Hopital;M. Muller;1.318;True
2;2152472.53;???;49759.43;Amenagement interieur et finitions (peinture, carrelage).;;ecole;Mme Garcia;0.939;False
3;???;1180159.05;153332.43;Frais pour les certifications et inspections de securite.;313032.08;Pont;M. Muller;1.096;False
4;1098278.88;861849.55;62737.24;Achat de materiaux de construction (ciment, acier, etc.).;193281.11;Stade;Mme Zhang;1.223;True
5;texte;???;???;Acquisition du terrain pour le projet.;246967.33;Immeuble;M. Muller;;False
6;3288543.19;2929025.51;53982.8;Amenagement interieur et finitions (peinture, carrelage).;837308.04;Hopital;M. Ali;1.407;False
7;1581098.81;???;96567.99;Frais de main-d'œuvre pour la construction.;114839.13;Immeuble;M. Muller;1.456;True
8;2476070.49;3084741.93;277512.41;Travaux de genie civil et fondation du batiment.;???;Immeuble;M. Muller;???;True
9;4165261.6;3454609.83;494166.58;Amenagement interieur et finitions (peinture, carrelage).;1101130.72;Stade;M. Smith;0.987;True
10;4758750.74;4574367.01;???;Amenagement interieur et finitions (peinture, carrelage).;1099688.92;Usine;M. Muller;1.121;False
11;899459.11;784188.57;;Installation des reseaux electriques et plomberie.;167017.65;Usine;Mme Zhang;0.954;True
12;1959312.72;2596678.84;32517.33;Achat de materiaux de construction (ciment, acier, etc.).;255824.06;Pont;M. Muller;1.096;True
13;2099583.65;???;158575.22;Verification de la conformite aux normes locales de construction.;617730.42;ecole;M. Muller;1.305;False
14;???;???;178579.64;Travaux de genie civil et fondation du batiment.;666727.64;Immeuble;Mme Garcia;1.333;True
15;3837602.48;;???;Installation des reseaux electriques et plomberie.;536428.6;Stade;M. Ali;1.178;True
16;3014080.63;3034828.46;77345.77;Frais de main-d'œuvre pour la construction.;408247.05;Immeuble;M. Ali;0.841;True
17;515333.45;519701.92;10146.79;Construction de la structure en beton arme.;130465.36;Pont;M. Muller;1.133;True
18;???;1398777.48;118492.56;Amenagement interieur et finitions (peinture, carrelage).;489073.66;;M. Muller;???;False
